OfficeHours_ID,OfficeRecordNo,SequenceNo,DayInt,DayOfWeek,StartTime,EndTime,Comments
185,2918,4,3,Tuesday,12/30/1899,12/30/1899,
186,2918,6,4,Wednesday,12/30/1899,12/30/1899,
187,2918,8,5,Thursday,12/30/1899,12/30/1899,
188,2918,10,6,Friday,12/30/1899,12/30/1899,
189,3543,2,2,Monday,12/30/1899,12/30/1899,
190,3543,4,3,Tuesday,12/30/1899,12/30/1899,
191,3543,6,4,Wednesday,12/30/1899,12/30/1899,
192,3543,8,5,Thursday,12/30/1899,12/30/1899,
193,3543,10,6,Friday,12/30/1899,12/30/1899,
194,3543,12,7,Saturday,12/30/1899,12/30/1899,
195,3543,14,1,Sunday,12/30/1899,12/30/1899,
196,1581,2,2,Monday,12/30/1899,12/30/1899,
197,1581,4,3,Tuesday,12/30/1899,12/30/1899,
198,1581,6,4,Wednesday,12/30/1899,12/30/1899,
199,1581,8,5,Thursday,12/30/1899,12/30/1899,
200,1581,10,6,Friday,12/30/1899,12/30/1899,
206,3422,2,2,Monday,12/30/1899,12/30/1899,
207,3422,4,3,Tuesday,12/30/1899,12/30/1899,
208,3422,6,4,Wednesday,12/30/1899,12/30/1899,
209,3422,8,5,Thursday,12/30/1899,12/30/1899,
210,3422,10,6,Friday,12/30/1899,12/30/1899,
211,3422,12,7,Saturday,12/30/1899,12/30/1899,
212,3422,14,1,Sunday,12/30/1899,12/30/1899,
213,55042,2,2,Monday,12/30/1899,12/30/1899,
214,55042,4,3,Tuesday,12/30/1899,12/30/1899,
215,55042,6,4,Wednesday,12/30/1899,12/30/1899,
216,55042,8,5,Thursday,12/30/1899,12/30/1899,
217,55042,10,6,Friday,12/30/1899,12/30/1899,
218,55038,2,2,Monday,12/30/1899,12/30/1899,
219,55038,4,3,Tuesday,12/30/1899,12/30/1899,
220,55038,6,4,Wednesday,12/30/1899,12/30/1899,
221,55038,8,5,Thursday,12/30/1899,12/30/1899,
222,55038,10,6,Friday,12/30/1899,12/30/1899,
223,837,2,2,Monday,12/30/1899,12/30/1899,
224,837,4,3,Tuesday,12/30/1899,12/30/1899,
225,837,6,4,Wednesday,12/30/1899,12/30/1899,
226,837,10,6,Friday,12/30/1899,12/30/1899,
227,837,8,5,Thursday,12/30/1899,12/30/1899,
228,3399,2,2,Monday,12/30/1899,12/30/1899,
229,3399,4,3,Tuesday,12/30/1899,12/30/1899,
230,3399,6,4,Wednesday,12/30/1899,12/30/1899,
231,3399,8,5,Thursday,12/30/1899,12/30/1899,
232,3399,10,6,Friday,12/30/1899,12/30/1899,
233,3153,2,2,Monday,12/30/1899,12/30/1899,
234,3153,4,3,Tuesday,12/30/1899,12/30/1899,
235,3153,6,4,Wednesday,12/30/1899,12/30/1899,
236,3153,8,5,Thursday,12/30/1899,12/30/1899,
237,3153,10,6,Friday,12/30/1899,12/30/1899,
238,1108,2,2,Monday,12/30/1899,12/30/1899,
239,1108,4,3,Tuesday,12/30/1899,12/30/1899,
240,1108,6,4,Wednesday,12/30/1899,12/30/1899,
241,1108,8,5,Thursday,12/30/1899,12/30/1899,
242,1108,10,6,Friday,12/30/1899,12/30/1899,
243,3169,2,2,Monday,12/30/1899,12/30/1899,
244,3169,4,3,Tuesday,12/30/1899,12/30/1899,
245,3169,6,4,Wednesday,12/30/1899,12/30/1899,
246,3169,8,5,Thursday,12/30/1899,12/30/1899,
247,3169,10,6,Friday,12/30/1899,12/30/1899,
248,3175,2,2,Monday,12/30/1899,12/30/1899,
249,3175,4,3,Tuesday,12/30/1899,12/30/1899,
250,3175,6,4,Wednesday,12/30/1899,12/30/1899,
251,3175,8,5,Thursday,12/30/1899,12/30/1899,
252,3175,10,6,Friday,12/30/1899,12/30/1899,
253,3178,2,2,Monday,12/30/1899,12/30/1899,
254,3178,4,3,Tuesday,12/30/1899,12/30/1899,
255,3178,6,4,Wednesday,12/30/1899,12/30/1899,
256,3178,8,5,Thursday,12/30/1899,12/30/1899,
257,3178,10,6,Friday,12/30/1899,12/30/1899,
258,3419,2,2,Monday,12/30/1899,12/30/1899,
259,3419,4,3,Tuesday,12/30/1899,12/30/1899,
260,3419,6,4,Wednesday,12/30/1899,12/30/1899,
261,3419,8,5,Thursday,12/30/1899,12/30/1899,
262,3419,10,6,Friday,12/30/1899,12/30/1899,
263,3202,2,2,Monday,12/30/1899,12/30/1899,
264,3202,4,3,Tuesday,12/30/1899,12/30/1899,
265,3202,6,4,Wednesday,12/30/1899,12/30/1899,
266,3202,8,5,Thursday,12/30/1899,12/30/1899,
267,3202,10,6,Friday,12/30/1899,12/30/1899,
268,51935,2,8,Mon - Fri,12/30/1899,12/30/1899,
269,52617,2,4,Wednesday,12/30/1899,12/30/1899,
270,55148,2,4,Wednesday,12/30/1899,12/30/1899,
271,3267,2,2,Monday,12/30/1899,12/30/1899,
272,3267,4,3,Tuesday,12/30/1899,12/30/1899,
273,3267,6,4,Wednesday,12/30/1899,12/30/1899,
274,3267,8,5,Thursday,12/30/1899,12/30/1899,
275,3267,10,6,Friday,12/30/1899,12/30/1899,
276,51490,2,8,Mon - Fri,12/30/1899,12/30/1899,
277,54073,2,2,Monday,12/30/1899,12/30/1899,
278,54073,4,3,Tuesday,12/30/1899,12/30/1899,
279,54073,6,4,Wednesday,12/30/1899,12/30/1899,
280,54073,8,5,Thursday,12/30/1899,12/30/1899,
281,54073,10,6,Friday,12/30/1899,12/30/1899,
282,53752,2,2,Monday,12/30/1899,12/30/1899,
283,53752,4,3,Tuesday,12/30/1899,12/30/1899,
284,53752,6,4,Wednesday,12/30/1899,12/30/1899,
285,53752,8,5,Thursday,12/30/1899,12/30/1899,
286,53752,10,6,Friday,12/30/1899,12/30/1899,
287,51187,2,2,Monday,12/30/1899,12/30/1899,
288,51187,4,3,Tuesday,12/30/1899,12/30/1899,
289,51187,6,4,Wednesday,12/30/1899,12/30/1899,
290,51187,8,5,Thursday,12/30/1899,12/30/1899,
291,51187,10,6,Friday,12/30/1899,12/30/1899,
292,53472,2,8,Mon - Fri,12/30/1899,12/30/1899,
293,53713,2,8,Mon - Fri,12/30/1899,12/30/1899,
294,53733,2,2,Monday,12/30/1899,12/30/1899,
295,53733,4,3,Tuesday,12/30/1899,12/30/1899,
296,53733,6,4,Wednesday,12/30/1899,12/30/1899,
297,53733,8,5,Thursday,12/30/1899,12/30/1899,
298,53733,10,6,Friday,12/30/1899,12/30/1899,
299,51161,2,2,Monday,12/30/1899,12/30/1899,
300,51161,4,3,Tuesday,12/30/1899,12/30/1899,
301,51161,6,4,Wednesday,12/30/1899,12/30/1899,
302,51161,8,5,Thursday,12/30/1899,12/30/1899,
303,53841,2,2,Monday,12/30/1899,12/30/1899,
304,53841,4,3,Tuesday,12/30/1899,12/30/1899,
305,53841,6,4,Wednesday,12/30/1899,12/30/1899,
306,53841,8,5,Thursday,12/30/1899,12/30/1899,
307,53841,10,6,Friday,12/30/1899,12/30/1899,
308,51289,2,2,Monday,12/30/1899,12/30/1899,
309,51289,4,3,Tuesday,12/30/1899,12/30/1899,
310,51289,6,4,Wednesday,12/30/1899,12/30/1899,
311,51289,8,5,Thursday,12/30/1899,12/30/1899,
312,51289,10,6,Friday,12/30/1899,12/30/1899,
313,52305,2,2,Monday,12/30/1899,12/30/1899,
314,52305,4,3,Tuesday,12/30/1899,12/30/1899,
315,52305,6,4,Wednesday,12/30/1899,12/30/1899,
316,52305,8,5,Thursday,12/30/1899,12/30/1899,
317,52305,10,6,Friday,12/30/1899,12/30/1899,
318,50171,2,8,Mon - Fri,12/30/1899,12/30/1899,
319,50140,2,8,Mon - Fri,12/30/1899,12/30/1899,
320,51835,2,2,Monday,12/30/1899,12/30/1899,
321,51835,4,3,Tuesday,12/30/1899,12/30/1899,
322,51835,6,4,Wednesday,12/30/1899,12/30/1899,
323,51835,8,5,Thursday,12/30/1899,12/30/1899,
324,51835,10,6,Friday,12/30/1899,12/30/1899,except 3rd Friday in August
325,52845,2,2,Monday,12/30/1899,12/30/1899,
326,52845,4,3,Tuesday,12/30/1899,12/30/1899,
327,52845,6,4,Wednesday,12/30/1899,12/30/1899,
328,52845,8,5,Thursday,12/30/1899,12/30/1899,
329,52845,10,6,Friday,12/30/1899,12/30/1899,
330,55151,2,2,Monday,12/30/1899,12/30/1899,
